iter	Passed	Remaining
633	2003	1156
634	2005	1152
635	2007	1149
636	2010	1145
637	2012	1141
638	2014	1137
639	2016	1134
640	2018	1130
641	2020	1126
642	2023	1123
643	2025	1119
644	2028	1116
645	2030	1112
646	2032	1108
647	2034	1105
648	2036	1101
649	2038	1097
650	2040	1094
651	2042	1090
652	2045	1086
653	2047	1083
654	2049	1079
655	2051	1075
656	2053	1071
657	2055	1068
658	2057	1064
659	2059	1060
660	2061	1057
661	2064	1053
662	2066	1050
663	2068	1046
664	2070	1043
665	2072	1039
666	2074	1035
667	2076	1032
668	2078	1028
669	2081	1025
670	2083	1021
671	2085	1017
672	2087	1014
673	2089	1010
674	2091	1006
675	2093	1003
676	2095	999
677	2097	996
678	2099	992
679	2102	989
680	2103	985
681	2106	982
682	2108	978
683	2110	975
684	2113	971
685	2115	968
686	2117	964
687	2119	961
688	2121	957
689	2124	954
690	2126	950
691	2128	947
692	2130	943
693	2132	940
694	2134	936
695	2137	933
696	2139	930
697	2141	926
698	2143	922
699	2145	919
700	2147	915
701	2149	912
702	2151	908
703	2153	905
704	2155	901
705	2157	898
706	2159	894
707	2161	891
708	2163	887
709	2165	884
710	2167	881
711	2169	877
712	2171	874
713	2173	870
714	2175	867
715	2178	863
716	2180	860
717	2182	857
718	2184	853
719	2186	850
720	2188	846
721	2190	843
722	2192	839
723	2194	836
724	2196	833
725	2199	829
726	2201	826
727	2203	823
728	2205	819
729	2207	816
730	2209	813
731	2212	809
732	2214	806
733	2217	803
734	2219	800
735	2221	796
736	2224	793
737	2226	790
738	2229	787
739	2231	784
740	2233	780
741	2235	777
742	2238	774
743	2240	770
744	2242	767
745	2245	764
746	2247	761
747	2249	758
748	2252	754
749	2254	751
750	2257	748
751	2259	745
752	2261	741
753	2263	738
754	2265	735
755	2268	732
756	2270	728
757	2272	725
758	2274	722
759	2276	719
760	2279	715
761	2281	712
762	2283	709
763	2285	705
764	2287	702
765	2289	699
766	2291	696
767	2293	692
768	2295	689
769	2297	686
770	2298	682
771	2301	679
772	2303	676
773	2306	673
774	2308	670
775	2310	666
776	2312	663
777	2314	660
778	2317	657
779	2319	654
780	2321	651
781	2323	647
782	2325	644
783	2327	641
784	2330	638
785	2332	635
786	2334	631
787	2336	628
788	2338	625
789	2340	622
790	2342	619
791	2344	615
792	2347	612
793	2349	609
794	2351	606
795	2353	603
796	2355	600
797	2358	596
798	2360	593
799	2362	590
800	2364	587
801	2367	584
802	2369	581
803	2371	578
804	2373	574
805	2375	571
806	2378	568
807	2380	565
808	2382	562
809	2385	559
810	2387	556
811	2389	553
812	2392	550
813	2394	547
814	2396	544
815	2398	540
816	2400	537
817	2402	534
818	2405	531
819	2407	528
820	2409	525
821	2412	522
822	2414	519
823	2417	516
824	2419	513
825	2422	510
826	2424	507
827	2426	504
828	2428	501
829	2431	497
830	2433	494
831	2435	491
832	2438	488
833	2440	485
834	2442	482
835	2444	479
836	2446	476
837	2449	473
838	2451	470
839	2454	467
840	2456	464
841	2458	461
842	2460	458
843	2462	455
844	2465	452
845	2468	449
846	2470	446
847	2472	443
848	2475	440
849	2477	437
850	2479	434
851	2482	431
852	2485	428
853	2487	425
854	2489	422
855	2492	419
856	2494	416
857	2496	413
858	2499	410
859	2501	407
860	2504	404
861	2506	401
862	2509	398
863	2511	395
864	2514	392
865	2516	389
866	2518	386
867	2520	383
868	2523	380
869	2526	377
870	2528	374
871	2530	371
872	2532	368
873	2534	365
874	2536	362
875	2538	359
876	2541	356
877	2543	353
878	2545	350
879	2547	347
880	2549	344
881	2551	341
882	2554	338
883	2556	335
884	2558	332
885	2561	329
886	2563	326
887	2565	323
888	2567	320
889	2569	317
890	2571	314
891	2573	311
892	2575	308
893	2578	305
894	2580	302
895	2582	299
896	2584	296
897	2586	293
898	2589	290
899	2591	287
900	2593	284
901	2595	282
902	2597	279
903	2600	276
904	2602	273
905	2605	270
906	2607	267
907	2609	264
908	2611	261
909	2613	258
910	2615	255
911	2617	252
912	2620	249
913	2622	246
914	2624	243
915	2627	240
916	2629	237
917	2631	235
918	2634	232
919	2636	229
920	2638	226
921	2640	223
922	2642	220
923	2645	217
924	2648	214
925	2650	211
926	2652	208
927	2655	205
928	2657	203
929	2659	200
930	2661	197
931	2664	194
932	2666	191
933	2669	188
934	2671	185
935	2673	182
936	2675	179
937	2678	177
938	2680	174
939	2683	171
940	2685	168
941	2687	165
942	2690	162
943	2692	159
944	2695	156
945	2697	153
946	2699	151
947	2702	148
948	2704	145
949	2707	142
950	2709	139
951	2711	136
952	2713	133
953	2716	130
954	2718	128
955	2721	125
956	2724	122
957	2726	119
958	2729	116
959	2732	113
960	2734	110
961	2738	108
962	2741	105
963	2743	102
964	2746	99
965	2748	96
966	2751	93
967	2754	91
968	2757	88
969	2759	85
970	2761	82
971	2764	79
972	2767	76
973	2771	73
974	2773	71
975	2776	68
976	2778	65
977	2782	62
978	2785	59
979	2787	56
980	2790	54
981	2792	51
982	2796	48
983	2798	45
984	2801	42
985	2803	39
986	2806	36
987	2808	34
988	2811	31
989	2815	28
990	2817	25
991	2819	22
992	2822	19
993	2824	17
994	2827	14
995	2830	11
996	2833	8
997	2836	5
998	2838	2
999	2841	0
